Feature,F-Score,p-value
BMI,3.874613325104433,0.04904918597572127
Gender_Male,2.9587409151359796,0.08544537453016857
Gender_Female,2.9587409151359796,0.08544537453016857
Blood Pressure,1.9254415759533017,0.16528894831555602
Alcohol Consumption,1.4449982609744016,0.22936069278653531
Stress Level,1.284130239340075,0.2571596701776621
Age,0.8520514575411108,0.3559949127124256
Homocysteine Level,0.6890777509963909,0.40649806930211974
High LDL Cholesterol_No,0.6724141235207685,0.4122307460132382
High LDL Cholesterol_Yes,0.6724141235207685,0.4122307460132382
Family Heart Disease_Yes,0.5624331976973129,0.45329917496529243
Family Heart Disease_No,0.5624331976973129,0.45329917496529243
Sugar Consumption,0.5333191086463609,0.4652318812356236
CRP Level,0.36096575497323824,0.5479839879333481
Low HDL Cholesterol_Yes,0.3599499569479558,0.5485476263868984
Low HDL Cholesterol_No,0.3599499569479558,0.5485476263868984
Sleep Hours,0.14597757088885077,0.7024174803730123
Triglyceride Level,0.08431488361374444,0.7715390210278894
Cholesterol Level,0.07304461436691634,0.7869599128550093
Smoking_No,0.0729498675615244,0.7870947960691053
Smoking_Yes,0.0729498675615244,0.7870947960691053
Diabetes_No,0.07289266917697682,0.7871762701918481
Diabetes_Yes,0.07289266917697682,0.7871762701918481
Fasting Blood Sugar,0.05051401595725364,0.8221758425686646
High Blood Pressure_Yes,0.04839501431788156,0.8258844710429276
High Blood Pressure_No,0.04839501431788156,0.8258844710429276
Exercise Habits,0.031532494594961775,0.8590612105779153
